Model Name	Total Score	Concern	Expressiveness	Resonate Or Capture Client Feelings	Warmth	Attuned To Clients Inner World	Understanding Cognitive Framework	Understanding Feelings Or Inner Experience	Acceptance Of Feelings Or Inner Experiences	Responsiveness	Dialogical Logical Consistency	Conversational Continuity	Handling Resistance	Summarization Ability	Ethics Avoidance Of Harmful Suggestions And Positive Guidance	Dialoguerhythm And Processmanagement	Fallacy Avoidance
PsyLLMV3-Large-250519	90.93	4.60	9.13	4.50	9.28	4.48	8.82	4.60	4.66	4.57	9.16	4.57	4.56	4.47	4.53	4.55	4.46
PsyLLMV3-Mini-250519	90.72	4.59	9.11	4.50	9.29	4.40	8.85	4.59	4.64	4.55	9.15	4.58	4.57	4.43	4.47	4.51	4.49
claude-3-7-sonnet-20250219	88.89	4.45	9.07	4.38	9.09	4.24	8.52	4.43	4.54	4.44	9.03	4.51	4.44	4.28	4.56	4.49	4.41
gemini-2.5-pro-exp-03-25	88.62	4.51	8.86	4.38	8.98	4.27	8.51	4.49	4.58	4.49	9.06	4.53	4.48	4.33	4.34	4.36	4.43
gemini-2.5-flash-preview-04-17	88.07	4.44	8.87	4.31	9.03	4.14	8.36	4.48	4.55	4.51	8.94	4.50	4.47	4.27	4.39	4.39	4.41
gpt-4.1	85.65	4.43	8.57	4.11	8.88	3.87	7.91	4.31	4.49	4.40	8.77	4.44	4.44	4.04	4.32	4.38	4.30
gpt-4.1-mini	83.80	4.30	8.57	3.87	8.85	3.71	7.56	4.29	4.39	4.39	8.69	4.38	4.19	3.94	4.18	4.21	4.28
gpt-4o-2024-11-20	82.31	4.31	8.36	3.77	8.72	3.54	7.35	4.19	4.28	4.28	8.52	4.28	4.18	3.87	4.25	4.24	4.19
Qwen3-32B_NoThink	81.40	4.22	8.16	3.89	8.61	3.53	7.33	4.16	4.23	4.30	8.45	4.28	4.16	3.78	4.06	4.10	4.13
GLM-4-32B-0414	80.92	4.26	8.30	3.72	8.59	3.53	7.20	4.03	4.27	4.31	8.39	4.25	3.97	3.82	4.05	4.13	4.10
gpt-4.1-nano	80.72	4.22	8.12	3.79	8.66	3.43	7.05	4.02	4.17	4.33	8.52	4.25	3.96	3.83	4.14	4.10	4.12
qwen-max-2025-01-25	79.59	4.26	8.19	3.58	8.68	3.40	7.04	3.94	3.93	4.24	8.32	4.22	3.99	3.65	4.14	3.93	4.10
gpt-4o-mini-2024-07-18	78.76	4.09	7.99	3.60	8.56	3.45	6.92	3.84	4.04	4.25	8.21	4.25	3.82	3.59	4.06	4.10	3.99
doubao-1-5-pro-32k-250115	78.71	4.19	8.20	3.68	8.65	3.36	6.80	3.83	4.08	4.13	8.19	4.17	3.89	3.66	3.97	3.90	4.01
simpsybot_D	77.92	4.11	7.87	3.48	8.51	3.25	6.88	3.72	3.86	4.14	8.36	4.15	3.74	3.60	4.13	3.92	4.19
SoulChat2___0-Qwen2-7B	77.38	4.00	7.59	3.60	8.21	3.38	7.03	3.67	4.06	4.09	8.08	4.20	3.84	3.56	4.10	3.98	4.01
Xinyuan-LLM-14B-0428	76.41	3.99	7.98	3.49	8.24	3.25	6.73	3.63	3.95	4.03	8.02	4.02	3.72	3.50	4.07	3.78	4.00
Qwen2.5-72B-Instruct	76.41	4.15	7.94	3.49	8.55	3.26	6.69	3.69	3.91	4.09	7.97	3.98	3.61	3.48	3.92	3.82	3.85
GLM-4-9B-0414	75.74	4.06	7.60	3.57	8.02	3.33	6.88	3.74	3.90	3.99	7.94	3.96	3.76	3.41	3.91	3.79	3.89
Qwen2.5-32B-Instruct	75.70	3.94	7.61	3.50	8.31	3.27	6.65	3.52	3.77	4.01	8.08	4.02	3.67	3.47	4.03	3.91	3.97
doubao-1-5-lite-32k-250115	74.99	3.99	8.07	3.35	8.66	3.18	6.46	3.56	3.79	4.02	7.88	4.00	3.55	3.32	3.91	3.59	3.66
CPsyCounX	66.00	3.31	6.68	3.02	7.17	2.96	5.89	3.14	3.35	3.48	6.76	3.37	3.24	3.01	3.82	3.31	3.47
